anime_id,Scored By
6062,303.0
8157,262.0
3475,2634.0
31927,3164.0
7170,789.0
29511,5574.0
13175,2400.0
791,2386.0
9165,267.0
2760,1880.0
8149,
16149,10808.0
5098,337.0
1380,5026.0
13215,2034.0
1777,2339.0
19401,239.0
9254,352.0
2840,837.0
6872,1226.0
8491,2350.0
9880,213.0
8584,696.0
3215,1494.0
2423,1150.0
31923,702.0
30585,16297.0
17959,313.0
12867,1824.0
9595,567.0
8550,385.0
8150,310.0
31762,2289.0
8141,225.0
6994,816.0
8848,222.0
2770,1395.0
4948,758.0
6688,251.0
3120,1522.0
1494,4221.0
7376,304.0
15177,1728.0
3115,1127.0
6496,1130.0
9972,258.0
7252,204.0
7169,501.0
9172,311.0
30865,401.0
9164,247.0
4095,2374.0
1552,377.0
6695,497.0
3898,1803.0
7610,825.0
6095,396.0
8152,285.0
3155,296.0
11561,536.0
8132,676.0
1984,1701.0
904,74300.0
5314,181.0
11791,215.0
17963,280.0
2981,31488.0
18755,2386.0
7491,567.0
29765,316.0
6074,200.0
5289,491.0
2830,290.0
7290,741.0
4713,10762.0
9951,583.0
7876,354.0
2388,272.0
28251,816.0
5421,442.0
11705,4481.0
4461,1128.0
17165,232.0
7510,423.0
12589,235.0
6680,809.0
6965,192.0
30922,1640.0
9282,242.0
8842,230.0
10199,204.0
2851,699.0
8928,307.0
5469,1043.0
6071,247.0
11693,331.0
2314,318.0
19165,4429.0
2833,614.0
12965,317.0
7532,386.0
5673,679.0
3178,753.0
1990,613.0
9098,455.0
10688,747.0
7621,423.0
34048,3503.0
22847,3939.0
10718,343.0
5515,224.0
1106,3895.0
5178,20109.0
5503,200.0
4907,304.0
515,2113.0
10261,134.0
29517,709.0
17719,310.0
32563,395.0
5157,567.0
7156,725.0
10501,3149.0
8490,3687.0
3258,3700.0
216,1133.0
4471,591.0
6985,3086.0
7420,127.0
4091,1370.0
9385,279.0
8551,487.0
12569,254.0
30886,393.0
4097,226.0
8181,675.0
8252,
12971,196.0
6993,1040.0
8707,250.0
3669,499.0
9264,411.0
5640,366.0
12851,514.0
7461,198.0
28991,208.0
7257,706.0
7771,295.0
9274,
18109,229.0
20961,1301.0
1378,2319.0
17965,223.0
3763,330.0
4210,635.0
9087,460.0
16506,215.0
6189,792.0
14347,6182.0
5090,638.0
28419,389.0
29943,1409.0
21081,406.0
30053,382.0
1154,512.0
5889,346.0
5875,1888.0
3990,1213.0
16381,2180.0
1866,873.0
5620,621.0
9279,516.0
3192,786.0
8972,632.0
1989,1508.0
16798,139.0
29772,947.0
7985,366.0
31972,294.0
7786,657.0
7807,337.0
10904,373.0
5662,841.0
9521,413.0
3843,682.0
31769,222.0
29585,289.0
2311,736.0
30967,643.0
2876,278.0
17387,353.0
3496,301.0
30920,745.0
5232,340.0
10375,237.0
4147,1478.0
9053,491.0
31310,484.0
2767,1585.0
6835,686.0
5053,2197.0
19233,700.0
33187,4458.0
10463,715.0
20713,232.0
7314,449.0
10313,317.0
11269,311.0
3473,965.0
13089,282.0
3886,3097.0
6305,1212.0
2069,647.0
1776,557.0
7524,214.0
12603,649.0
3929,729.0
3743,1268.0
3070,773.0
11447,975.0
13083,309.0
1160,1518.0
11659,671.0
5799,417.0
4398,1688.0
8297,2025.0
9861,895.0
33449,324.0
29515,405.0
30862,995.0
6797,439.0
5631,775.0
30394,179.0
7450,351.0
13971,2163.0
2258,373.0
23061,380.0
5632,852.0
9392,281.0
28041,859.0
1252,2661.0
6937,413.0
7244,459.0
7451,476.0
9850,361.0
30473,422.0
1982,2129.0
7255,473.0
13369,232.0
28987,205.0
7258,572.0
2941,663.0
19219,609.0
12295,622.0
5873,923.0
12789,413.0
7528,647.0
7497,622.0
6939,504.0
28057,266.0
6843,568.0
27437,176.0
10674,395.0
4391,882.0
29956,171.0
29629,660.0
7523,326.0
13085,243.0
29771,520.0
29673,210.0
30341,176.0
12561,673.0
5826,1084.0
28241,561.0
7530,450.0
2765,1141.0
19209,233.0
3463,707.0
5869,689.0
13087,238.0
28639,518.0
28653,136.0
13439,606.0
7243,811.0
30336,219.0
18457,514.0
7488,434.0
29701,280.0
25461,318.0
6827,406.0
30850,841.0
28245,496.0
1833,722.0
6847,405.0
28045,523.0
6829,544.0
30327,236.0
23759,490.0
30393,177.0
28953,424.0
29904,361.0
10743,511.0
31262,400.0
3799,704.0
30330,222.0
7446,432.0
29633,275.0
1031,1218.0
7843,561.0
31834,334.0
1287,1204.0
4390,738.0
6281,1104.0
10710,757.0
7445,441.0
24363,211.0
30334,206.0
29932,406.0
28827,178.0
28049,301.0
28765,335.0
4395,496.0
31912,356.0
28955,219.0
28051,445.0
23053,372.0
5874,388.0
22175,263.0
28761,6217.0
7273,1418.0
31507,401.0
15455,521.0
31257,410.0
4761,539.0
7494,828.0
5872,592.0
6857,861.0
6848,418.0
6769,1321.0
7021,481.0
5871,540.0
29411,445.0
6852,
4392,581.0
3252,339.0
30404,216.0
31760,380.0
6836,583.0
6846,400.0
23065,415.0
29766,395.0
13513,1070.0
28587,419.0
10763,252.0
5299,455.0
31831,420.0
28993,474.0
1621,922.0
7259,559.0
7809,853.0
1626,1962.0
4250,789.0
29905,380.0
28951,632.0
4394,608.0
6832,758.0
6837,655.0
12919,857.0
4733,306.0
29944,664.0
31833,281.0
7485,1604.0
6842,411.0
31267,384.0
7025,1390.0
10742,383.0
7810,635.0
30399,221.0
12803,432.0
6841,637.0
5838,587.0
31759,436.0
30400,226.0
22165,379.0
10627,216.0
30401,187.0
30332,460.0
29597,601.0
7032,561.0
30078,201.0
17076,604.0
29768,510.0
10436,564.0
5870,666.0
30335,196.0
4966,1397.0
4393,1010.0
30659,435.0
1451,2213.0
20153,405.0
6850,489.0
29681,258.0
31761,466.0
29989,288.0
28655,319.0
9976,530.0
6431,599.0
30666,216.0
19213,658.0
22163,272.0
6831,554.0
29906,332.0
705,1120.0
28641,561.0
7501,260.0
30326,230.0
7031,669.0
22171,198.0
6823,723.0
23063,919.0
29311,356.0
7020,520.0
29907,448.0
31584,181.0
30480,267.0
6839,447.0
30418,196.0
4462,882.0
31832,486.0
29293,
6830,514.0
6654,5344.0
7071,560.0
7026,604.0
9318,528.0
5868,888.0
29952,527.0
5661,767.0
30664,240.0
28647,561.0
30331,234.0
30337,243.0
30667,219.0
3930,830.0
29908,390.0
30339,236.0
23051,588.0
5812,677.0
7029,605.0
5811,690.0
29988,302.0
28645,675.0
30328,256.0
4397,656.0
6849,579.0
6840,594.0
29777,1112.0
30814,206.0
5813,1266.0
23517,408.0
30340,279.0
6535,2434.0
23059,961.0
22159,291.0
30396,364.0
7027,734.0
16802,415.0
7030,885.0
22167,307.0
23055,353.0
30669,203.0
7811,1008.0
6851,568.0
4396,684.0
5814,806.0
9895,939.0
30559,223.0
6844,669.0
30329,264.0
6834,694.0
29980,1474.0
28843,1661.0
30668,524.0
6838,844.0
29957,589.0
6828,502.0
23057,2715.0
4567,736.0
23877,1359.0
22157,694.0
7024,1115.0
30665,607.0
30859,511.0
6833,722.0
29619,628.0
22177,811.0
22181,430.0
28637,652.0
28657,718.0
22173,627.0
16822,491.0
6950,1463.0
22255,543.0
29984,696.0
11357,483.0
7022,802.0
7028,879.0
31586,3121.0
22161,1009.0
7900,678.0
29617,959.0
22169,1308.0
22179,1564.0
6953,2792.0
29949,
25627,UNKNOWN
18305,143.0
6073,184.0
16812,202.0
16564,191.0
16570,132.0
31485,2178.0
32806,1298.0
14183,255.0
24857,UNKNOWN
29842,UNKNOWN
23779,UNKNOWN
8226,303.0
8227,255.0
31941,451.0
32253,UNKNOWN
22959,UNKNOWN
30617,561.0
17117,UNKNOWN
22851,UNKNOWN
29791,152.0
33232,441.0
7633,UNKNOWN
21761,UNKNOWN
21763,UNKNOWN
21765,161.0
33342,UNKNOWN
6630,120.0
23031,UNKNOWN
28091,UNKNOWN
9796,249.0
23523,UNKNOWN
31730,UNKNOWN
7715,UNKNOWN
29708,UNKNOWN
25963,223.0
17479,UNKNOWN
20383,UNKNOWN
30249,UNKNOWN
16514,183.0
29897,187.0
29710,139.0
10203,UNKNOWN
10200,UNKNOWN
29764,240.0
29886,UNKNOWN
20189,191.0
8416,162.0
8403,UNKNOWN
28983,118.0
31258,317.0
31868,UNKNOWN
16786,226.0
24881,UNKNOWN
29921,175.0
23611,UNKNOWN
6671,163.0
9447,UNKNOWN
18759,UNKNOWN
32345,224.0
33344,208.0
33728,7351.0
23185,UNKNOWN
23187,UNKNOWN
30267,UNKNOWN
29655,147.0
21025,126.0
30228,UNKNOWN
16558,UNKNOWN
18271,UNKNOWN
31202,321.0
24923,UNKNOWN
29947,UNKNOWN
29948,UNKNOWN
31236,UNKNOWN
29792,133.0
24269,UNKNOWN
29135,154.0
29793,156.0
7354,113.0
8563,121.0
30634,UNKNOWN
10040,147.0
17689,333.0
23191,UNKNOWN
24927,UNKNOWN
28829,195.0
13511,UNKNOWN
13509,UNKNOWN
13507,UNKNOWN
30923,441.0
16794,198.0
30247,108.0
29711,UNKNOWN
31978,1461.0
30955,420.0
33685,2147.0
33686,1637.0
33687,1725.0
6760,UNKNOWN
6759,UNKNOWN
6762,UNKNOWN
6761,UNKNOWN
19905,UNKNOWN
16554,UNKNOWN
16816,UNKNOWN
23189,575.0
18317,UNKNOWN
17665,UNKNOWN
18327,UNKNOWN
16572,UNKNOWN
18325,UNKNOWN
18313,UNKNOWN
29713,UNKNOWN
5916,UNKNOWN
2642,132.0
2639,153.0
2636,153.0
29349,UNKNOWN
25299,UNKNOWN
27577,UNKNOWN
7498,593.0
31261,270.0
32926,UNKNOWN
19907,UNKNOWN
6517,UNKNOWN
19943,UNKNOWN
15137,235.0
30193,161.0
16818,UNKNOWN
18307,UNKNOWN
33114,161.0
29987,UNKNOWN
16748,UNKNOWN
29379,UNKNOWN
30071,111.0
23969,UNKNOWN
23971,UNKNOWN
29923,367.0
20093,UNKNOWN
8218,249.0
29919,170.0
23343,110.0
29653,173.0
30530,UNKNOWN
16838,UNKNOWN
20175,116.0
30738,218.0
23863,UNKNOWN
32835,UNKNOWN
33325,UNKNOWN
18377,UNKNOWN
18319,UNKNOWN
30362,UNKNOWN
24071,343.0
8155,170.0
8493,185.0
8156,252.0
8154,177.0
8153,236.0
28103,142.0
29665,176.0
23265,394.0
2691,
30042,147.0
9351,UNKNOWN
30278,223.0
33025,2344.0
30481,176.0
30483,118.0
27651,149.0
23661,172.0
29918,127.0
16778,UNKNOWN
29924,UNKNOWN
9535,293.0
16780,UNKNOWN
7781,UNKNOWN
9501,141.0
31263,374.0
19751,UNKNOWN
11995,250.0
31510,106.0
16752,UNKNOWN
8500,651.0
33474,158.0
11673,UNKNOWN
9862,178.0
17263,UNKNOWN
30086,657.0
23651,UNKNOWN
30861,UNKNOWN
28759,155.0
24877,163.0
31583,174.0
10603,UNKNOWN
10602,UNKNOWN
10964,250.0
28749,UNKNOWN
2750,UNKNOWN
32622,121.0
18827,207.0
31585,141.0
16552,UNKNOWN
18273,158.0
23659,112.0
32645,
31235,UNKNOWN
8355,118.0
8356,126.0
8357,123.0
7967,132.0
23125,UNKNOWN
30072,UNKNOWN
34115,104.0
27375,UNKNOWN
10509,UNKNOWN
16828,UNKNOWN
31511,UNKNOWN
29587,181.0
30134,UNKNOWN
16556,119.0
6150,UNKNOWN
18309,UNKNOWN
30268,UNKNOWN
19957,UNKNOWN
16776,UNKNOWN
16824,UNKNOWN
16808,UNKNOWN
16560,147.0
25091,UNKNOWN
10238,UNKNOWN
22887,UNKNOWN
29671,151.0
16007,176.0
31509,UNKNOWN
31135,UNKNOWN
29651,158.0
29814,UNKNOWN
21467,UNKNOWN
21475,UNKNOWN
24577,UNKNOWN
29926,182.0
28235,1305.0
32227,UNKNOWN
29709,UNKNOWN
25305,UNKNOWN
10760,151.0
23183,UNKNOWN
9496,210.0
27561,UNKNOWN
18323,UNKNOWN
32252,UNKNOWN
29928,118.0
